Date,Price,Open,High,Low,Vol,Change %
5/5/2023,"37,800","37,900","38,100","37,650",1.17M,-0.26%
5/4/2023,"37,900","38,100","38,900","37,900",2.46M,-3.32%
4/28/2023,"39,200","38,650","39,200","38,600",2.52M,1.42%
4/27/2023,"38,650","38,500","38,650","38,150",1.29M,0.65%
4/26/2023,"38,400","37,700","38,400","37,650",1.84M,1.86%
4/25/2023,"37,700","38,600","38,800","37,500",2.74M,-1.82%
4/24/2023,"38,400","39,200","39,300","38,250",3.21M,-2.29%
4/21/2023,"39,300","40,400","40,400","39,300",2.81M,-2.72%
4/20/2023,"40,400","40,500","40,500","39,900",1.42M,-0.25%
4/19/2023,"40,500","40,050","41,300","40,000",2.95M,1.38%
4/18/2023,"39,950","40,550","40,750","39,950",2.76M,0.25%
4/17/2023,"39,850","39,850","40,000","39,550",1.41M,-0.38%
4/14/2023,"40,000","41,250","41,400","40,000",2.68M,-2.56%
4/13/2023,"41,050","41,000","41,300","40,650",3.14M,0.74%
4/12/2023,"40,750","40,500","41,700","40,500",3.97M,0.12%
4/11/2023,"40,700","41,000","41,000","40,200",2.85M,-0.73%
4/10/2023,"41,000","39,200","41,150","39,200",5.83M,5.13%
4/7/2023,"39,000","38,850","39,050","38,500",2.03M,-0.26%
4/6/2023,"39,100","40,000","40,000","39,050",1.97M,-1.64%
4/5/2023,"39,750","39,800","39,850","39,500",1.74M,-0.13%
4/4/2023,"39,800","39,100","39,950","39,050",3.13M,2.05%
4/3/2023,"39,000","39,000","39,200","38,700",2.11M,1.17%
3/31/2023,"38,550","38,550","38,950","38,250",1.82M,-0.13%
3/30/2023,"38,600","38,800","39,200","38,150",2.67M,-0.26%
3/29/2023,"38,700","39,250","39,350","38,700",1.83M,-1.02%
3/28/2023,"39,100","38,200","39,300","38,100",4.20M,2.62%
3/27/2023,"38,100","38,000","38,450","37,850",2.47M,0.40%
3/24/2023,"37,950","37,600","38,200","37,600",1.73M,0.40%
3/23/2023,"37,800","37,600","37,950","37,500",1.24M,-0.40%
3/22/2023,"37,950","38,650","38,650","37,950",1.51M,-1.43%
3/21/2023,"38,500","38,800","38,800","37,500",1.41M,1.05%
3/20/2023,"38,100","39,000","39,400","38,050",2.30M,-3.30%
3/17/2023,"39,400","39,900","39,900","38,850",953.80K,0.00%
3/16/2023,"39,400","40,000","40,000","38,800",1.67M,-1.50%
3/15/2023,"40,000","39,600","40,100","39,400",1.90M,3.63%
3/14/2023,"38,600","39,300","39,600","38,300",1.61M,-2.03%
3/13/2023,"39,400","39,750","40,000","39,400",1.35M,-0.88%
3/10/2023,"39,750","39,900","40,100","39,400",1.57M,-0.63%
3/9/2023,"40,000","39,600","40,550","39,550",2.12M,1.52%
3/8/2023,"39,400","39,000","39,550","38,650",2.03M,-0.76%
3/7/2023,"39,700","40,000","40,200","39,200",1.59M,0.76%
3/6/2023,"39,400","39,950","40,500","39,400",1.47M,0.00%
3/3/2023,"39,400","40,300","40,600","39,400",1.86M,-2.23%
3/2/2023,"40,300","40,800","41,000","40,000",868.90K,-1.23%
3/1/2023,"40,800","40,000","41,000","39,250",1.52M,2.00%
2/28/2023,"40,000","40,500","41,200","39,850",1.57M,-1.23%
2/27/2023,"40,500","41,000","41,900","40,500",1.97M,-3.80%
2/24/2023,"42,100","42,500","42,950","41,600",1.63M,-2.09%
2/23/2023,"43,000","42,800","43,000","42,000",1.31M,0.00%
2/22/2023,"43,000","44,000","44,500","43,000",1.64M,-3.37%
2/21/2023,"44,500","44,400","45,250","44,400",1.41M,0.45%
2/20/2023,"44,300","43,200","44,300","42,750",1.87M,2.43%
2/17/2023,"43,250","43,300","43,300","42,850",959.10K,-0.12%
2/16/2023,"43,300","43,200","43,500","42,800",944.20K,1.29%
2/15/2023,"42,750","42,500","43,500","42,500",1.08M,0.59%
2/14/2023,"42,500","42,800","43,000","42,400",803.20K,0.00%
2/13/2023,"42,500","42,100","42,500","41,500",1.73M,0.95%
2/10/2023,"42,100","44,000","44,450","42,100",2.03M,-4.32%
2/9/2023,"44,000","44,400","45,450","44,000",1.47M,-1.12%
2/8/2023,"44,500","45,700","46,000","44,500",1.65M,-2.63%
2/7/2023,"45,700","46,650","48,000","45,700",2.02M,-3.08%
2/6/2023,"47,150","47,000","47,200","45,700",2.65M,-1.36%
2/3/2023,"47,800","48,050","48,600","47,800",6.22M,-4.21%
2/2/2023,"49,900","46,950","49,900","46,300",4.86M,5.94%
2/1/2023,"47,100","46,200","47,150","45,700",7.84M,1.29%
1/31/2023,"46,500","45,900","46,500","45,350",2.72M,0.65%
1/30/2023,"46,200","45,900","46,800","45,400",3.21M,0.65%
1/27/2023,"45,900","46,400","46,900","45,900",2.48M,0.66%
1/19/2023,"45,600","44,950","46,100","44,750",3.49M,1.45%
1/18/2023,"44,950","43,500","45,200","43,250",3.69M,4.41%
1/17/2023,"43,050","42,400","43,400","42,200",2.76M,2.74%
1/16/2023,"41,900","42,050","42,300","41,700",1.41M,-0.36%
1/13/2023,"42,050","42,400","42,650","42,050",1.09M,-0.12%
1/12/2023,"42,100","42,550","43,000","42,050",986.10K,-1.06%
1/11/2023,"42,550","42,300","43,200","42,300",1.46M,0.83%
1/10/2023,"42,200","42,000","42,600","41,900",1.42M,0.48%
1/9/2023,"42,000","43,150","43,300","42,000",2.66M,-2.67%
1/6/2023,"43,150","43,600","43,850","43,150",1.51M,-1.03%
1/5/2023,"43,600","43,900","44,000","43,300",1.10M,0.23%
1/4/2023,"43,500","43,100","44,300","43,100",1.87M,-1.02%
1/3/2023,"43,950","42,800","44,000","42,500",2.00M,2.45%
12/30/2022,"42,900","42,800","43,000","42,050",1.65M,0.00%
12/29/2022,"42,900","42,500","42,900","42,100",1.21M,-0.23%
12/28/2022,"43,000","43,000","43,200","41,900",1.39M,-1.83%
12/27/2022,"43,800","41,500","43,800","41,500",2.32M,2.82%
12/26/2022,"42,600","45,500","45,750","42,600",2.56M,-6.99%
12/23/2022,"45,800","46,500","46,500","45,550",1.58M,-1.51%
12/22/2022,"46,500","46,350","46,700","45,300",1.52M,0.22%
12/21/2022,"46,400","46,500","46,750","44,350",2.05M,-0.22%
12/20/2022,"46,500","46,600","46,850","44,200",3.35M,-1.38%
12/19/2022,"47,150","47,600","48,800","47,150",3.78M,-1.46%
12/16/2022,"47,850","46,750","47,950","45,900",3.00M,1.81%
12/15/2022,"47,000","46,450","47,500","46,150",2.54M,1.18%
12/14/2022,"46,450","47,300","47,300","45,800",2.19M,0.11%
12/13/2022,"46,400","45,750","46,400","44,400",1.96M,1.09%
12/12/2022,"45,900","46,200","47,300","45,000",3.47M,-0.65%
12/9/2022,"46,200","46,000","46,600","45,350",1.68M,0.43%
12/8/2022,"46,000","45,800","47,000","45,200",2.63M,2.56%
12/7/2022,"44,850","44,350","45,000","43,500",2.93M,1.13%
12/6/2022,"44,350","47,200","47,200","44,350",4.09M,-6.83%
12/5/2022,"47,600","47,050","48,850","47,050",4.15M,1.28%
12/2/2022,"47,000","43,400","47,000","43,400",6.46M,6.70%
12/1/2022,"44,050","45,000","45,600","42,750",5.86M,-0.11%
11/30/2022,"44,100","43,600","45,000","43,000",3.78M,3.04%
11/29/2022,"42,800","40,500","42,800","40,500",5.27M,6.60%
11/28/2022,"40,150","38,300","40,400","38,300",4.32M,6.22%
11/25/2022,"37,800","37,550","38,300","36,500",2.60M,0.27%
11/24/2022,"37,700","39,200","39,200","37,700",7.86M,-6.91%
11/23/2022,"40,500","40,300","40,900","40,100",1.51M,0.75%
11/22/2022,"40,200","40,200","41,600","39,850",3.71M,-1.11%
11/21/2022,"40,650","41,950","41,950","40,650",1.76M,-3.56%
11/18/2022,"42,150","41,000","42,250","39,900",4.37M,0.84%
11/17/2022,"41,800","41,750","42,900","40,800",2.86M,3.34%
11/16/2022,"40,450","35,250","40,450","35,250",8.56M,6.87%
11/15/2022,"37,850","38,200","39,500","37,850",2.98M,-6.89%
11/14/2022,"40,650","42,000","42,750","40,400",3.51M,-5.47%
11/11/2022,"43,000","43,400","44,400","43,000",3.57M,1.53%
11/10/2022,"42,350","44,950","44,950","42,350",3.67M,-6.92%
11/9/2022,"45,500","45,000","46,450","44,550",2.16M,2.02%
11/8/2022,"44,600","42,850","45,600","41,300",4.12M,4.08%
11/7/2022,"42,850","46,000","46,550","42,850",5.34M,-6.95%
11/4/2022,"46,050","47,550","48,000","46,050",5.74M,-6.97%
11/3/2022,"49,500","49,000","50,300","48,100",2.60M,3.13%
11/2/2022,"48,000","50,000","50,300","46,800",4.32M,-4.19%
11/1/2022,"50,100","52,000","52,500","50,100",2.00M,-2.91%
10/31/2022,"51,600","52,400","52,900","49,500",3.90M,-3.01%
10/28/2022,"53,200","53,500","54,400","52,800",1.80M,-0.19%
10/27/2022,"53,300","51,300","53,900","51,300",2.99M,2.70%
10/26/2022,"51,900","52,100","52,500","50,600",1.53M,-0.19%
10/25/2022,"52,000","50,700","54,000","49,000",4.40M,2.77%
10/24/2022,"50,600","54,500","55,000","50,600",4.83M,-6.99%
10/21/2022,"54,400","58,300","58,300","54,400",4.24M,-6.85%
10/20/2022,"58,400","58,200","59,000","57,900",1.81M,-1.02%
10/19/2022,"59,000","59,200","59,500","58,300",1.41M,0.00%
10/18/2022,"59,000","59,900","60,500","58,600",2.05M,0.17%
10/17/2022,"58,900","59,600","59,600","57,800",2.67M,-1.67%
10/14/2022,"59,900","58,000","60,300","58,000",2.99M,3.99%
10/13/2022,"57,600","57,000","58,200","56,500",1.53M,0.17%
10/12/2022,"57,500","55,500","58,800","55,500",2.89M,3.79%
10/11/2022,"55,400","57,100","57,600","54,100",2.33M,-2.98%
10/10/2022,"57,100","53,100","57,300","53,000",3.91M,5.74%
10/7/2022,"54,000","56,500","57,900","54,000",5.57M,-6.90%
10/6/2022,"58,000","62,200","62,300","58,000",3.17M,-6.75%
10/5/2022,"62,200","61,000","63,100","61,000",2.12M,1.97%
10/4/2022,"61,000","61,200","61,300","60,100",4.02M,2.35%
10/3/2022,"59,600","62,900","62,900","59,600",4.03M,-6.88%
9/30/2022,"64,000","63,700","64,200","61,700",4.37M,0.00%
9/29/2022,"64,000","66,500","66,500","63,700",2.55M,-1.54%
9/28/2022,"65,000","66,100","67,000","65,000",2.72M,-3.13%
9/27/2022,"67,100","67,400","68,000","66,800",1.54M,-1.32%
9/26/2022,"68,000","67,800","68,200","65,600",5.24M,-2.02%
9/23/2022,"69,400","70,100","70,100","68,600",2.72M,-1.00%
9/22/2022,"70,100","69,100","70,800","68,300",4.25M,0.14%
9/21/2022,"70,000","71,000","71,000","70,000",3.11M,-2.37%
9/20/2022,"71,700","70,900","72,000","69,200",3.38M,1.70%
9/19/2022,"70,500","72,000","72,800","69,100",4.17M,-2.08%
9/16/2022,"72,000","73,400","73,700","71,400",4.28M,-2.57%
9/15/2022,"73,900","73,700","74,800","73,400",3.18M,0.27%
9/14/2022,"73,700","72,700","73,900","72,600",3.70M,-0.54%
9/13/2022,"74,100","74,000","74,400","73,300",1.96M,0.14%
9/12/2022,"74,000","72,200","75,400","72,100",7.35M,2.78%
9/9/2022,"72,000","72,000","72,400","70,800",2.78M,0.70%
9/8/2022,"71,500","71,500","72,300","70,500",3.75M,1.13%
9/7/2022,"70,700","72,600","72,800","70,600",5.67M,-3.02%
9/6/2022,"72,900","72,600","73,300","72,400",2.60M,0.55%
9/5/2022,"72,500","73,900","73,900","72,500",2.69M,-2.03%
8/31/2022,"74,000","72,500","74,000","72,500",4.62M,0.95%
8/30/2022,"73,300","74,500","75,000","72,900",4.23M,-0.95%
8/29/2022,"74,000","71,800","74,000","70,700",7.69M,2.49%
8/26/2022,"72,200","68,700","73,100","68,700",10.85M,5.56%
8/25/2022,"68,400","67,700","68,700","67,300",5.15M,2.40%
8/24/2022,"66,800","66,900","67,200","66,300",2.22M,-0.15%
8/23/2022,"66,900","65,900","67,800","65,900",4.01M,0.60%
8/22/2022,"66,500","64,600","66,900","64,500",5.86M,3.74%
8/19/2022,"64,100","64,500","65,400","63,100",2.28M,-0.62%
8/18/2022,"64,500","65,000","65,800","63,900",4.07M,-0.77%
8/17/2022,"65,000","66,000","66,400","65,000",2.52M,-1.52%
8/16/2022,"66,000","65,000","67,000","65,000",3.91M,1.54%
8/15/2022,"65,000","63,300","65,000","63,000",4.43M,3.17%
8/12/2022,"63,000","62,900","63,700","62,200",2.42M,0.00%
8/11/2022,"63,000","64,000","64,200","62,500",2.72M,-0.94%
8/10/2022,"63,600","63,300","64,300","63,000",1.97M,0.47%
8/9/2022,"63,300","63,100","63,600","62,900",2.81M,0.64%
8/8/2022,"62,900","62,700","62,900","62,300",2.49M,0.32%
8/5/2022,"62,700","62,900","63,500","62,600",2.71M,0.00%
8/4/2022,"62,700","62,200","63,000","62,100",4.34M,1.46%
8/3/2022,"61,800","62,000","62,200","61,300",2.66M,-0.32%
8/2/2022,"62,000","61,800","62,500","61,300",2.12M,1.14%
8/1/2022,"61,300","61,000","61,900","60,000",3.26M,0.49%
7/29/2022,"61,000","62,400","62,400","61,000",3.38M,-1.61%
7/28/2022,"62,000","63,000","63,000","62,000",1.95M,-0.16%
7/27/2022,"62,100","60,100","63,000","60,100",1.87M,-1.43%
7/26/2022,"63,000","63,900","63,900","62,800",1.81M,-0.47%
7/25/2022,"63,300","64,800","65,800","62,700",4.02M,-1.86%
7/22/2022,"64,500","64,900","66,800","64,200",5.45M,0.62%
7/21/2022,"64,100","61,200","64,500","61,200",5.00M,4.74%
7/20/2022,"61,200","59,200","63,000","58,200",7.38M,2.00%
7/19/2022,"60,000","61,200","61,200","59,500",2.12M,-1.64%
7/18/2022,"61,000","61,500","62,900","60,200",2.54M,-0.81%
7/15/2022,"61,500","62,800","63,200","61,500",3.08M,-1.76%
7/14/2022,"62,600","62,900","64,000","62,300",2.13M,-1.57%
7/13/2022,"63,600","64,000","64,200","61,900",3.10M,-1.24%
7/12/2022,"64,400","64,800","64,800","64,000",1.61M,-0.16%
7/11/2022,"64,500","64,800","64,900","64,000",1.37M,-0.77%
7/8/2022,"65,000","64,700","66,500","64,400",2.59M,1.56%
7/7/2022,"64,000","64,100","65,000","63,900",1.59M,0.00%
7/6/2022,"64,000","65,500","66,300","64,000",2.40M,-2.29%
7/5/2022,"65,500","67,800","67,800","64,000",3.98M,-3.39%
7/4/2022,"67,800","70,000","70,100","66,600",5.18M,-3.56%
7/1/2022,"70,300","71,600","71,600","68,800",3.29M,-1.68%
6/30/2022,"71,500","73,100","73,100","71,200",2.40M,-2.05%
6/29/2022,"73,000","72,800","74,000","71,100",3.15M,0.27%
6/28/2022,"72,800","71,000","72,900","71,000",4.12M,1.82%
6/27/2022,"71,500","71,700","72,500","71,100",3.16M,-0.56%
6/24/2022,"71,900","73,500","73,500","71,400",2.72M,-0.83%
6/23/2022,"72,500","70,000","73,500","69,800",4.91M,3.87%
6/22/2022,"69,800","75,600","75,600","69,200",3.82M,-5.03%
6/21/2022,"73,500","75,000","75,800","71,000",3.37M,-0.54%
6/20/2022,"73,900","78,000","78,000","73,600",4.48M,-4.89%
6/17/2022,"77,700","79,000","79,000","76,300",3.50M,-1.65%
6/16/2022,"79,000","79,000","79,000","77,600",6.04M,6.97%
6/15/2022,"73,850","72,500","73,850","72,000",5.12M,2.93%
6/14/2022,"71,750","69,250","72,150","69,000",3.21M,2.50%
6/13/2022,"70,000","72,500","73,750","70,000",6.46M,-6.67%
6/10/2022,"75,000","77,000","77,500","75,000",3.88M,-1.83%
6/9/2022,"76,400","76,700","77,500","75,650",2.26M,-0.39%
6/8/2022,"76,700","77,150","78,950","76,700",4.15M,0.26%
6/7/2022,"76,500","77,000","77,000","74,500",3.69M,-0.46%
6/6/2022,"76,850","76,502","77,744","76,502",3.78M,0.98%
6/3/2022,"76,105","73,373","76,651","73,373",3.34M,3.72%
6/2/2022,"73,373","72,777","74,764","72,280",3.61M,1.51%
6/1/2022,"72,280","71,982","73,025","71,535",2.12M,0.41%
5/31/2022,"71,982","72,131","72,131","71,038",1.48M,-0.21%
5/30/2022,"72,131","72,876","73,273","71,237",2.52M,-1.02%
5/27/2022,"72,876","69,150","72,975","69,150",5.10M,5.54%
5/26/2022,"69,051","69,548","69,796","67,560",1.43M,0.00%
5/25/2022,"69,051","66,766","70,293","66,567",3.12M,4.51%
5/24/2022,"66,070","65,027","66,070","64,480",1.16M,1.68%
5/23/2022,"64,977","67,064","67,064","64,580",1.08M,-2.39%
5/20/2022,"66,567","65,822","67,461","65,573",1.74M,0.75%
5/19/2022,"66,070","64,580","66,319","64,232",1.68M,-0.38%
5/18/2022,"66,319","65,424","66,418","64,480",1.61M,1.44%
5/17/2022,"65,375","62,046","65,375","60,606",2.11M,6.99%
5/16/2022,"61,102","65,822","65,822","60,208",2.67M,-1.68%
5/13/2022,"62,146","66,766","67,113","62,146",5.49M,-6.92%
5/12/2022,"66,766","69,498","69,498","66,766",3.41M,-4.68%
5/11/2022,"70,044","69,647","70,044","68,157",2.33M,0.64%
5/10/2022,"69,597","67,064","69,597","66,070",3.64M,2.71%
5/9/2022,"67,759","71,634","71,684","67,759",5.39M,-6.96%
5/6/2022,"72,826","72,777","73,969","72,578",2.17M,-1.87%
5/5/2022,"74,217","74,764","74,764","72,081",2.34M,-0.07%
5/4/2022,"74,267","74,515","75,260","73,770",2.30M,0.20%
4/29/2022,"74,118","72,131","74,515","72,131",3.48M,2.90%
4/28/2022,"72,031","73,273","74,018","71,932",3.05M,-1.49%
4/27/2022,"73,124","72,528","73,273","71,038",3.44M,-1.08%
4/26/2022,"73,919","70,044","74,962","69,051",5.44M,2.69%
4/25/2022,"71,982","76,502","77,148","71,982",7.42M,-7.00%
4/22/2022,"77,396","77,794","77,993","72,081",8.10M,0.19%
4/21/2022,"77,247","76,602","78,241","76,353",4.61M,-0.32%
4/20/2022,"77,496","77,049","79,185","76,403",3.80M,0.00%
4/19/2022,"77,496","79,334","80,029","76,999",6.57M,-2.62%
4/18/2022,"79,582","79,980","80,476","79,036",5.23M,0.00%
4/15/2022,"79,582","78,241","80,427","78,092",4.68M,0.44%
4/14/2022,"79,234","77,595","80,874","76,999",5.85M,2.11%
4/13/2022,"77,595","75,012","77,993","74,764",6.81M,2.29%
4/12/2022,"75,856","74,515","75,856","72,528",5.29M,1.80%
4/8/2022,"74,515","76,999","76,999","74,515",4.41M,-3.23%
4/7/2022,"76,999","79,384","79,533","76,304",6.20M,-2.39%
4/6/2022,"78,887","76,502","80,476","76,204",5.96M,2.32%
4/5/2022,"77,098","76,254","77,794","76,006",2.52M,0.13%
4/4/2022,"76,999","78,738","78,837","76,999",2.80M,-0.64%
4/1/2022,"77,496","73,273","77,496","73,075",8.26M,7.00%
3/31/2022,"72,429","71,535","73,770","70,789",3.60M,0.97%
3/30/2022,"71,733","72,280","72,975","69,597",3.39M,-1.43%
3/29/2022,"72,777","72,280","74,167","71,535",4.68M,1.74%
3/28/2022,"71,535","69,150","71,584","69,001",7.67M,3.67%
3/25/2022,"69,001","66,915","69,746","66,418",7.57M,3.66%
3/24/2022,"66,567","67,064","67,064","66,070",1.83M,-0.74%
3/23/2022,"67,064","66,915","67,759","66,865",1.59M,-0.15%
3/22/2022,"67,163","67,064","67,560","66,368",2.09M,0.22%
3/21/2022,"67,014","65,573","67,014","65,325",1.84M,2.51%
3/18/2022,"65,375","64,977","65,474","64,977",1.58M,0.61%
3/17/2022,"64,977","65,474","65,573","64,977",1.38M,-0.46%
3/16/2022,"65,275","65,176","65,573","64,580",2.11M,0.00%
3/15/2022,"65,275","64,928","65,275","64,083",2.01M,-0.23%
3/14/2022,"65,424","65,623","65,971","64,331",2.45M,-0.98%
3/11/2022,"66,070","66,269","66,269","65,573",1.31M,-0.38%
3/10/2022,"66,319","66,567","66,567","65,871",1.77M,-0.22%
3/9/2022,"66,468","66,617","66,617","65,822",2.30M,-0.30%
3/8/2022,"66,666","66,567","66,815","65,772",3.99M,0.00%
3/7/2022,"66,666","66,815","67,064","66,567",2.29M,-1.18%
3/4/2022,"67,461","67,809","67,859","66,865",2.15M,-0.51%
3/3/2022,"67,809","67,064","67,809","66,368",2.12M,1.49%
3/2/2022,"66,815","67,461","67,461","66,567",3.34M,-1.10%
3/1/2022,"67,560","68,008","68,057","67,113",2.42M,0.00%
2/28/2022,"67,560","67,809","68,554","67,312",3.60M,-1.16%
2/25/2022,"68,355","68,008","69,448","67,560",5.38M,0.58%
2/24/2022,"67,958","68,057","68,405","67,312",2.35M,-0.73%
2/23/2022,"68,455","68,405","69,846","68,008",3.22M,0.07%
2/22/2022,"68,405","66,070","69,150","65,772",6.55M,2.84%
2/21/2022,"66,517","65,822","67,014","65,822",1.22M,-0.08%
