Date,Price,Open,High,Low,Vol,Change %
1/30/2023,"46,400","47,700","47,700","45,000",3.70K,-5.31%
1/27/2023,"49,000","46,900","51,700","45,100",2.80K,8.89%
1/19/2023,"45,000","46,900","46,900","45,000",5.00K,-3.85%
1/18/2023,"46,800","46,800","46,800","46,800",0.10K,-0.21%
1/17/2023,"46,900","45,500","46,900","45,500",3.11K,2.40%
1/16/2023,"45,800","45,000","45,800","45,000",0.60K,-0.22%
1/12/2023,"45,900","45,900","45,900","45,900",0.10K,2.23%
1/11/2023,"44,900","46,000","46,000","44,000",16.40K,-2.39%
1/9/2023,"46,000","46,000","46,000","46,000",0.40K,-1.08%
1/6/2023,"46,500","45,500","47,000","45,000",7.40K,-3.13%
1/4/2023,"48,000","46,000","48,000","46,000",0.50K,4.35%
1/3/2023,"46,000","45,000","46,000","45,000",0.32K,-3.16%
12/30/2022,"47,500","44,500","47,500","44,500",2.20K,-1.04%
12/29/2022,"48,000","47,200","48,000","47,200",1.00K,3.67%
12/28/2022,"46,300","47,500","48,000","44,500",0.80K,-0.43%
12/27/2022,"46,500","47,200","47,200","45,000",0.90K,-0.43%
12/26/2022,"46,700","47,300","47,700","44,500",0.90K,-0.64%
12/23/2022,"47,000","47,800","48,500","44,000",14.50K,4.44%
12/21/2022,"45,000","45,000","48,900","45,000",0.30K,-4.86%
12/20/2022,"47,300","45,500","47,400","45,000",0.80K,-5.21%
12/19/2022,"49,900","49,900","49,900","49,900",0.20K,6.40%
12/16/2022,"46,900","48,000","49,200","46,000",1.00K,-2.29%
12/14/2022,"48,000","49,000","49,000","45,000",0.90K,-1.84%
12/13/2022,"48,900","48,900","48,900","48,900",0.10K,4.26%
12/12/2022,"46,900","49,400","49,400","46,000",0.40K,4.22%
12/9/2022,"45,000","46,900","46,900","45,000",0.40K,-4.26%
12/8/2022,"47,000","46,500","47,000","46,300",1.30K,-2.08%
12/2/2022,"48,000","49,400","49,400","48,000",0.60K,0.21%
12/1/2022,"47,900","47,900","47,900","47,900",0.10K,-2.84%
11/30/2022,"49,300","48,000","49,300","48,000",10.10K,2.71%
11/29/2022,"48,000","47,000","48,000","47,000",0.81K,-2.04%
11/28/2022,"49,000","49,000","50,000","48,000",1.01K,-5.22%
11/23/2022,"51,700","49,900","51,700","49,900",0.80K,-1.34%
11/22/2022,"52,400","47,400","52,400","47,400",4.20K,7.16%
11/21/2022,"48,900","46,000","48,900","46,000",1.00K,4.04%
11/18/2022,"47,000","46,000","47,000","46,000",0.50K,0.21%
11/17/2022,"46,900","44,400","46,900","44,400",0.70K,4.45%
11/16/2022,"44,900","39,000","45,000","39,000",10.50K,14.54%
11/15/2022,"39,200","41,800","41,800","39,200",237.80K,-6.67%
11/14/2022,"42,000","42,800","42,800","38,000",1.50K,-2.10%
11/11/2022,"42,900","44,500","44,500","42,900",0.30K,-0.23%
11/10/2022,"43,000","43,000","43,000","41,200",3.90K,0.47%
11/9/2022,"42,800","42,800","42,800","42,800",0.60K,0.71%
11/8/2022,"42,500","44,500","44,500","42,500",1.60K,-2.97%
11/7/2022,"43,800","43,000","43,800","42,500",2.50K,0.69%
11/4/2022,"43,500","44,000","44,000","43,500",0.30K,-2.03%
11/3/2022,"44,400","44,000","44,500","44,000",4.40K,-3.06%
11/2/2022,"45,800","44,700","45,800","44,700",1.00K,2.92%
11/1/2022,"44,500","45,000","45,500","44,000",3.47K,-7.29%
10/31/2022,"48,000","44,900","48,000","44,000",17.10K,5.96%
10/28/2022,"45,300","44,000","46,200","44,000",3.50K,0.67%
10/27/2022,"45,000","46,600","46,600","42,000",15.70K,-4.26%
10/26/2022,"47,000","46,900","47,000","45,000",5.80K,0.21%
10/25/2022,"46,900","47,900","47,900","45,500",0.60K,-0.21%
10/24/2022,"47,000","45,800","47,000","45,000",1.70K,-2.69%
10/21/2022,"48,300","48,400","48,500","45,800",1.60K,0.21%
10/20/2022,"48,200","48,200","48,200","48,200",0.30K,-0.41%
10/19/2022,"48,400","48,400","48,400","48,300",0.90K,-0.21%
10/18/2022,"48,500","48,500","48,500","48,400",1.80K,-0.61%
10/17/2022,"48,800","48,800","48,800","48,800",0.10K,0.83%
10/14/2022,"48,400","48,400","48,400","48,400",0.10K,-0.21%
10/12/2022,"48,500","48,300","48,500","48,300",11.09K,0.41%
10/11/2022,"48,300","47,900","48,300","47,800",0.60K,-0.21%
10/10/2022,"48,400","47,900","48,400","47,900",2.10K,-0.21%
10/7/2022,"48,500","48,600","48,600","48,500",1.00K,-0.82%
10/6/2022,"48,900","48,000","48,900","48,000",0.60K,-0.20%
10/5/2022,"49,000","49,000","49,000","49,000",1.20K,0.41%
10/4/2022,"48,800","49,800","49,800","48,800",3.10K,-2.01%
10/3/2022,"49,800","49,900","49,900","49,700",2.10K,-0.20%
9/30/2022,"49,900","50,000","50,000","49,200",3.90K,0.00%
9/29/2022,"49,900","50,200","50,200","49,900",0.50K,-0.40%
9/28/2022,"50,100","49,000","50,100","48,700",0.40K,-0.40%
9/27/2022,"50,300","50,300","50,400","49,100",1.20K,0.60%
9/26/2022,"50,000","50,300","50,500","49,000",16.80K,-0.99%
9/23/2022,"50,500","50,400","50,500","50,400",3.51K,0.00%
9/22/2022,"50,500","50,500","50,500","50,500",0.30K,0.00%
9/21/2022,"50,500","50,500","50,500","50,500",0.10K,0.00%
9/20/2022,"50,500","50,000","50,600","49,000",9.50K,0.00%
9/19/2022,"50,500","50,500","51,000","50,500",6.01K,-0.20%
9/16/2022,"50,600","50,600","50,600","50,600",2.80K,0.00%
9/15/2022,"50,600","51,000","51,000","50,600",1.40K,0.20%
9/14/2022,"50,500","50,300","50,500","50,300",0.60K,-0.20%
9/13/2022,"50,600","51,000","51,000","50,600",1.39K,0.60%
9/12/2022,"50,300","50,400","51,900","50,200",26.80K,0.20%
9/9/2022,"50,200","50,500","51,000","50,200",5.10K,0.00%
9/8/2022,"50,200","51,400","51,400","50,000",10.60K,-0.40%
9/7/2022,"50,400","50,500","51,000","50,400",1.50K,-1.18%
9/6/2022,"51,000","51,500","51,800","51,000",2.30K,-2.30%
9/5/2022,"52,200","52,100","53,000","52,100",13.80K,-2.25%
8/31/2022,"53,400","51,900","53,400","51,800",26.70K,2.89%
8/30/2022,"51,900","51,400","51,900","51,400",1.30K,0.00%
8/29/2022,"51,900","51,000","51,900","51,000",5.10K,0.19%
8/26/2022,"51,800","52,000","52,000","51,800",1.20K,0.00%
8/25/2022,"51,800","51,700","51,900","50,800",1.50K,0.58%
8/24/2022,"51,500","51,000","51,900","50,600",8.00K,0.78%
8/23/2022,"51,100","50,800","51,200","50,600",9.90K,-0.58%
8/22/2022,"51,400","50,900","51,400","50,600",3.30K,-0.77%
8/19/2022,"51,800","51,900","51,900","50,800",0.40K,0.19%
8/18/2022,"51,700","51,900","51,900","51,000",23.10K,0.00%
8/17/2022,"51,700","51,900","52,000","51,000",1.80K,-0.19%
8/16/2022,"51,800","50,800","53,000","50,800",3.30K,1.57%
8/15/2022,"51,000","50,800","51,000","50,700",1.50K,-0.78%
8/12/2022,"51,400","51,900","51,900","50,600",1.20K,1.58%
8/11/2022,"50,600","50,600","50,900","50,600",5.90K,0.40%
8/10/2022,"50,400","50,600","50,600","50,200",3.80K,-0.59%
8/9/2022,"50,700","50,900","50,900","50,700",1.00K,-0.78%
8/8/2022,"51,100","50,900","51,500","50,600",4.60K,0.39%
8/5/2022,"50,900","51,000","51,000","50,600",3.40K,-0.20%
8/4/2022,"51,000","51,000","51,000","50,600",0.80K,0.00%
8/3/2022,"51,000","50,600","51,900","50,600",2.80K,0.00%
8/2/2022,"51,000","50,300","51,900","50,300",2.10K,-0.39%
8/1/2022,"51,200","51,200","53,200","49,800",2.20K,-8.57%
7/29/2022,"56,000","50,700","56,000","49,500",27.24K,11.33%
7/28/2022,"50,300","49,600","50,300","49,600",0.41K,-0.79%
7/27/2022,"50,700","48,000","50,700","48,000",2.50K,1.60%
7/26/2022,"49,900","49,400","49,900","49,400",0.80K,1.01%
7/25/2022,"49,400","49,900","50,600","49,200",14.50K,0.61%
7/22/2022,"49,100","49,100","50,900","49,100",3.50K,-0.61%
7/21/2022,"49,400","49,800","49,800","48,800",3.30K,1.65%
7/20/2022,"48,600","49,000","49,900","48,500",12.90K,0.21%
7/19/2022,"48,500","48,600","49,000","48,500",6.10K,0.00%
7/18/2022,"48,500","49,000","49,000","48,500",6.50K,0.41%
7/15/2022,"48,300","49,000","49,000","48,300",0.80K,-0.41%
7/14/2022,"48,500","48,300","48,500","48,000",1.20K,-1.02%
7/13/2022,"49,000","48,400","49,000","48,000",11.92K,1.24%
7/12/2022,"48,400","48,400","48,500","48,400",4.12K,-1.43%
7/11/2022,"49,100","48,300","49,100","48,300",2.20K,1.87%
7/8/2022,"48,200","49,000","49,000","48,000",6.30K,-1.63%
7/6/2022,"49,000","49,400","49,400","49,000",0.20K,0.00%
7/5/2022,"49,000","48,100","49,000","48,100",0.30K,0.00%
7/4/2022,"49,000","50,600","50,600","49,000",1.70K,-1.41%
7/1/2022,"49,700","50,800","50,800","48,500",0.80K,-0.40%
6/30/2022,"49,900","48,600","49,900","48,600",0.40K,0.00%
6/29/2022,"49,900","50,700","51,000","48,500",1.40K,1.63%
6/28/2022,"49,100","51,700","52,000","48,700",2.90K,-1.80%
6/27/2022,"50,000","50,000","52,800","46,200",3.00K,0.40%
6/24/2022,"49,800","49,000","49,800","48,300",3.10K,1.63%
6/23/2022,"49,000","48,000","49,000","48,000",2.60K,2.08%
6/22/2022,"48,000","48,000","48,000","47,900",2.54K,0.00%
6/21/2022,"48,000","48,000","48,000","48,000",10.10K,-2.04%
6/20/2022,"49,000","49,800","49,800","47,000",2.60K,-1.80%
6/17/2022,"49,900","50,600","50,600","45,400",1.90K,0.00%
6/16/2022,"49,900","49,900","49,900","49,900",0.20K,0.60%
6/15/2022,"49,600","50,000","50,000","48,500",2.90K,-1.59%
6/14/2022,"50,400","49,000","50,400","49,000",0.20K,-0.20%
6/13/2022,"50,500","50,000","50,500","50,000",1.20K,-1.75%
6/10/2022,"51,400","51,400","51,400","51,400",0.10K,3.42%
6/9/2022,"49,700","51,600","51,600","49,700",1.10K,-3.31%
6/8/2022,"51,400","51,900","51,900","49,200",0.40K,4.68%
6/7/2022,"49,100","48,600","49,900","48,600",2.00K,-6.83%
6/6/2022,"52,700","52,000","52,700","52,000",0.20K,2.33%
6/3/2022,"51,500","51,500","51,500","51,500",0.10K,0.19%
6/2/2022,"51,400","52,100","52,100","50,000",1.20K,-0.77%
6/1/2022,"51,800","52,000","53,700","50,000",1.30K,0.00%
5/31/2022,"51,800","50,400","55,900","49,100",3.90K,2.57%
5/30/2022,"50,500","49,000","50,500","49,000",13.10K,3.06%
5/27/2022,"49,000","48,000","49,000","48,000",1.60K,0.41%
